Cascadia time-averaged ETS velocities by station in mm/year
Made by Noel Bartlow, July 23, 2018 
For more info email nbartlow@berkeley.edu
Do not share without permission

Name 	 Ev 	 	 Nv 	 	 Uv
ALBH 	  -5.6854 	  -1.8898 	  1.6932
BAMF 	  -3.4036 	  -2.3937 	  -2.9214
BREW 	  -0.0636 	  -0.0488 	  -0.7517
BURN 	  -0.1019 	  0.0568 	  0.4575
CABL 	  0.2665 	  -0.3631 	  0.4603
CHWK 	  0.2640 	  -0.0627 	  -0.2595
CHZZ 	  -2.0171 	  -0.1313 	  2.1490
CORV 	  -1.1781 	  -2.2359 	  -0.9757
CPXX 	  -3.5947 	  -0.3282 	  -1.4318
DDSN 	  -1.7788 	  -0.9356 	  -0.2652
DRAO 	  0.3056 	  -0.0084 	  0.6931
GARL 	  -0.2716 	  -0.5821 	  0.5277
GOBS 	  -0.5886 	  0.6366 	  0.9001
HCRO 	  -0.0468 	  0.5366 	  3.9258
HOLB 	  -1.2468 	  0.5147 	  -0.8957
KELS 	  0.0000 	  -0.0000 	  0.0000
KTBW 	  -2.4729 	  -1.0229 	  -4.0503
LINH 	  -0.0252 	  0.0567 	  0.6855
LKCP 	  -0.1666 	  0.5586 	  -2.2274
MDMT 	  -0.2381 	  0.0596 	  0.5899
NANO 	  -3.4668 	  -1.6722 	  -5.7730
NEAH 	  -3.6755 	  -2.2426 	  6.7503
P013 	  -0.0634 	  0.0132 	  0.0787
P017 	  -0.0586 	  -0.0054 	  -0.0415
P018 	  -0.0571 	  0.0123 	  0.0327
P019 	  0.0031 	  0.0029 	  -0.9173
P020 	  -0.0591 	  -0.0175 	  -0.1723
P021 	  0.0782 	  -0.1002 	  -0.0988
P022 	  -0.0948 	  -0.0241 	  -0.2904
P023 	  0.0448 	  0.0288 	  0.0406
P024 	  0.0031 	  0.0020 	  0.5033
P025 	  0.0366 	  0.0607 	  -0.0987
P058 	  0.1990 	  0.1050 	  -1.0035
P060 	  -4.8571 	  -0.9912 	  0.2048
P061 	  -2.4059 	  -0.4358 	  6.3075
P062 	  0.0740 	  -0.0740 	  -0.3448
P063 	  -0.0111 	  0.0492 	  -0.2042
P065 	  -0.2331 	  -0.1835 	  1.8386
P137 	  -0.0635 	  -0.0417 	  -0.0064
P138 	  -0.0675 	  0.0969 	  0.7149
P139 	  -0.1757 	  -0.0484 	  0.7638
P145 	  -0.0470 	  -0.0074 	  0.0100
P147 	  -0.4132 	  0.3900 	  1.3874
P148 	  0.4540 	  1.1636 	  -0.3768
P151 	  -0.0858 	  0.1050 	  0.8128
P154 	  -1.6281 	  -0.3434 	  9.1721
P155 	  -2.5001 	  0.8388 	  12.5392
P156 	  -0.3737 	  -0.9442 	  -0.7516
P157 	  -1.0764 	  -0.3087 	  3.0003
P158 	  -0.5209 	  -0.1670 	  2.4656
P159 	  -0.0821 	  0.0831 	  0.8286
P160 	  -0.3149 	  -0.2083 	  0.9686
P161 	  0.5291 	  -0.1915 	  1.2693
P162 	  0.3027 	  -0.6438 	  0.9890
P163 	  -0.0763 	  -0.6841 	  -4.9894
P164 	  -0.5538 	  -0.2439 	  5.1789
P165 	  -0.5114 	  -0.9308 	  3.4575
P166 	  -0.4470 	  -0.0387 	  3.5090
P167 	  0.1172 	  -0.3789 	  0.7355
P168 	  -0.3572 	  0.5278 	  1.9528
P169 	  -0.5158 	  0.0142 	  3.6562
P170 	  -0.9620 	  1.1995 	  -2.6494
P179 	  -3.8708 	  -2.4997 	  12.6937
P185 	  -0.2399 	  -0.0303 	  0.1163
P187 	  -0.0712 	  0.0145 	  5.1787
P190 	  -0.4368 	  0.4854 	  1.1779
P191 	  -2.1765 	  -1.5075 	  15.0020
P192 	  0.2225 	  -0.1550 	  1.4123
P205 	  -0.7106 	  0.4030 	  -3.8652
P207 	  -0.0191 	  -0.5439 	  2.5860
P312 	  0.0745 	  -0.2995 	  0.9533
P313 	  -0.3004 	  -1.0213 	  3.2569
P314 	  -0.6074 	  0.1972 	  -1.1903
P315 	  -0.9873 	  -0.3690 	  2.8443
P317 	  -1.1030 	  -0.3123 	  2.4203
P318 	  -0.0580 	  -0.1459 	  2.5279
P319 	  -0.2205 	  -2.1111 	  -2.1251
P320 	  0.0554 	  -0.9266 	  1.2795
P321 	  -0.1925 	  0.6411 	  -1.7236
P322 	  -2.7679 	  -2.1324 	  0.6439
P324 	  -1.6373 	  -0.2787 	  5.0226
P325 	  -1.9541 	  -1.0018 	  3.8382
P326 	  -1.5579 	  0.9190 	  2.8949
P327 	  -3.3183 	  -1.8243 	  3.9380
P329 	  -1.3186 	  -0.2750 	  3.9711
P330 	  -6.2855 	  -3.3556 	  -0.5711
P331 	  -5.9034 	  -1.1865 	  12.0122
P332 	  -6.0138 	  -2.2285 	  12.7979
P333 	  0.0469 	  -0.5032 	  -0.8494
P334 	  1.0398 	  1.0003 	  -11.4027
P335 	  -1.2749 	  -2.6216 	  -5.3619
P336 	  1.1374 	  -0.6844 	  -1.7395
P337 	  -5.7032 	  -3.2031 	  -0.0250
P338 	  -2.1296 	  -1.0078 	  4.9160
P339 	  -1.2510 	  -1.9956 	  2.4881
P341 	  -3.8687 	  -3.7010 	  0.0674
P343 	  -6.1963 	  -1.3842 	  11.5547
P344 	  -0.4166 	  -1.6118 	  7.3803
P345 	  -5.1374 	  -1.2276 	  -21.3979
P346 	  -0.0130 	  0.0422 	  -2.1127
P347 	  0.0356 	  -0.1736 	  -0.6255
P348 	  0.7625 	  0.2782 	  -3.3850
P349 	  -4.8874 	  -1.6008 	  2.5010
P350 	  -0.0177 	  0.0044 	  0.0952
P351 	  -0.0181 	  0.0096 	  0.3126
P362 	  -1.3361 	  -0.2885 	  1.3520
P363 	  -3.1266 	  -1.1336 	  6.6898
P364 	  -1.1603 	  -0.7848 	  1.7661
P365 	  -1.6801 	  -0.3953 	  1.6378
P366 	  -2.3590 	  -1.0068 	  8.8122
P367 	  -2.2049 	  -0.7684 	  2.1317
P368 	  -1.8650 	  -3.3051 	  13.7178
P369 	  -2.0885 	  -1.6049 	  1.9466
P370 	  -3.0067 	  -1.7329 	  4.5297
P371 	  -1.5445 	  -0.6134 	  -3.1710
P372 	  -0.0477 	  0.0110 	  -0.0194
P373 	  -1.5570 	  -2.7261 	  0.2716
P374 	  -0.6525 	  -2.3312 	  1.5209
P375 	  -0.7153 	  -2.2735 	  2.4332
P376 	  -1.7132 	  -1.3867 	  -0.2361
P377 	  -1.5759 	  -1.0061 	  0.6645
P378 	  -1.1536 	  -0.3991 	  -0.7770
P379 	  -0.4960 	  -0.1906 	  -0.2290
P380 	  0.0502 	  -0.1239 	  0.7018
P381 	  0.1452 	  0.0481 	  -0.2350
P382 	  0.0402 	  -0.1621 	  1.2673
P383 	  0.1994 	  0.2496 	  -2.2730
P384 	  -0.0998 	  0.1180 	  -0.3668
P385 	  -0.0501 	  0.2956 	  -3.3012
P386 	  0.0159 	  0.0094 	  -0.2005
P387 	  0.5749 	  -0.4677 	  -0.5320
P388 	  0.0237 	  0.0038 	  -0.1094
P389 	  -0.0296 	  -0.1919 	  0.0207
P390 	  -0.0161 	  0.0316 	  -0.2934
P391 	  -0.0209 	  0.0491 	  -0.1097
