# Cascadia inter-ETS (secular) velocities by station in mm/year
# Seasonal amplitudes are given in mm
# a1 is an annual period sine wave, a2 is an annual cosine wave; s1 and s2 are the same but with semiannual (6month) periods
# Made by Noel Bartlow, July 23, 2018 
# For more info email nbartlow@berkeley.edu
# Do not share without permission

# Name 	  Ev 	 	  Nv 	 	 Uv 	 	 Ea1	 	 Na1	 	 Ua1	 	 Ea2	 	 Na2	 	 Ua2	 	 Es1	 	 Ns1	 	 Us1	 	 Es2	 	 Ns2	 	 Us2
ALBH 	  12.0974 	  6.1463 	  -0.6900 	  -0.0688 	  -0.0373 	  -5.2843  	  -0.0431 	  -0.4085 	  -1.1863 	  -0.0061 	  -0.1099 	  1.0956 	  -0.0130 	  -0.0457 	  -0.8804
BAMF 	  13.0124 	  8.8247 	  5.2053 	  0.5167 	  1.2305 	  -5.3938  	  0.8321 	  0.6572 	  -3.3229 	  -0.0279 	  0.1157 	  0.3361 	  -0.0068 	  -0.0444 	  0.4072
BREW 	  2.0671 	  1.1335 	  -0.4095 	  -0.5029 	  0.3873 	  -5.9678  	  -0.0496 	  -0.1038 	  0.0032 	  -0.0548 	  -0.0126 	  0.9194 	  -0.0555 	  0.0466 	  -1.2443
BURN 	  -1.3978 	  1.1541 	  -0.7054 	  0.3423 	  0.6448 	  -3.6147  	  0.2042 	  -0.2477 	  -0.6649 	  -0.2340 	  0.0896 	  0.4341 	  -0.0255 	  0.1253 	  -0.6478
CABL 	  6.1523 	  14.0158 	  0.8164 	  0.8933 	  -0.1950 	  -3.2703  	  0.3432 	  0.1368 	  -1.0311 	  -0.2462 	  -0.0424 	  0.6266 	  0.0525 	  -0.0396 	  -0.7862
CHWK 	  3.0205 	  1.8965 	  -0.4430 	  0.5511 	  0.5845 	  -6.8833  	  0.0530 	  -0.0905 	  2.3130 	  -0.0952 	  -0.0029 	  1.0786 	  -0.0077 	  -0.0030 	  -1.7789
CHZZ 	  9.9415 	  9.4717 	  -2.5367 	  0.5696 	  0.3791 	  -4.5009  	  0.3677 	  0.1219 	  -3.0459 	  -0.2350 	  -0.2531 	  1.3913 	  0.0174 	  -0.4093 	  -1.2641
CORV 	  5.4582 	  9.0751 	  1.4093 	  0.4016 	  0.0598 	  -4.1556  	  0.2936 	  0.5677 	  0.2887 	  -0.1717 	  -0.0331 	  1.2054 	  -0.0746 	  0.0293 	  -0.6219
CPXX 	  7.8157 	  4.4772 	  1.9580 	  0.1374 	  0.4608 	  -6.7258  	  -0.0418 	  0.0972 	  -0.3120 	  -0.0266 	  0.0089 	  1.3509 	  -0.0228 	  -0.1388 	  -1.6538
DDSN 	  2.3739 	  8.2930 	  0.6031 	  0.7951 	  -0.2752 	  -5.8711  	  -0.1187 	  0.4155 	  0.2881 	  -0.1281 	  -0.0909 	  1.3314 	  -0.0578 	  -0.0863 	  -0.7804
